参数名称,估计值,标准误,t统计量,P值,控制变量名称
最优门槛值,0.9256,192.3038,0.0048,0.9962,
门槛前系数(beta0),0.1511,0.0193,7.8442,0.0,
门槛后系数(beta1),-0.069,0.0176,-3.9126,0.0001,
,-3.0227,0.0058,-523.9579,0.0,ln_pop
,-0.0162,0.016,-1.0085,0.3135,能源强度
,0.0396,0.0059,6.7448,0.0,人均能源消耗
,2.5925,0.0522,49.6272,0.0,省份虚拟变量
,0.4866,0.0562,8.6599,0.0,省份虚拟变量
,-0.3938,0.0397,-9.9308,0.0,省份虚拟变量
,0.7111,0.0423,16.8143,0.0,省份虚拟变量
,4.2296,0.0484,87.4728,0.0,省份虚拟变量
,-1.5995,0.0418,-38.3002,0.0,省份虚拟变量
,-3.4877,0.0602,-57.9587,0.0,省份虚拟变量
,3.3276,0.0482,69.0862,0.0,省份虚拟变量
,4.5307,0.0442,102.4283,0.0,省份虚拟变量
,1.5115,0.0457,33.0613,0.0,省份虚拟变量
,4.8602,0.0478,101.5807,0.0,省份虚拟变量
,2.5173,0.0448,56.1925,0.0,省份虚拟变量
,0.3239,0.0495,6.5392,0.0,省份虚拟变量
,3.9908,0.0452,88.2596,0.0,省份虚拟变量
,2.359,0.0476,49.5429,0.0,省份虚拟变量
,3.6275,0.0428,84.6644,0.0,省份虚拟变量
,4.7111,0.0494,95.3573,0.0,省份虚拟变量
,2.9114,0.0436,66.8511,0.0,省份虚拟变量
,-2.5501,0.039,-65.3101,0.0,省份虚拟变量
,3.0225,0.0438,68.9391,0.0,省份虚拟变量
,3.4292,0.0455,75.3125,0.0,省份虚拟变量
,0.5327,0.0407,13.0838,0.0,省份虚拟变量
,1.7675,0.0434,40.7658,0.0,省份虚拟变量
,1.7259,0.0425,40.5686,0.0,省份虚拟变量
,2.0287,0.0413,49.098,0.0,省份虚拟变量
,1.0445,0.0418,24.9877,0.0,省份虚拟变量
,1.763,0.0421,41.8455,0.0,省份虚拟变量
,-3.8227,0.0519,-73.6993,0.0,省份虚拟变量
,1.5402,0.041,37.5603,0.0,省份虚拟变量
